Log_NR;Standort;Code_grafana;Latitude;Longitude;Start;End
1;VonRoll;02f54063d5c4;46.95291;7.42252;09.05.2023;NA
2;Europaplatz;ea2d7117e366;46.94333;7.40633;10.05.2023;NA
2;Europaplatz;d60444822c13;46.94333;7.40633;5/10/23;NA
7;Brunnhof;23c9b05d9c07;46.94479;7.42713;10.05.2023;NA
8;Wankdorf ESP;3b2fc2434bc8;46.968;7.46247;06.06.2023;NA
8;Wankdorf ESP;7637b479bc79;46.968;7.46247;08.05.2023;01.06.2023
8;Wankdorf ESP;cad06aabf023;46.968;7.46247;01.06.2023;06.06.2023
9;Bremgartenfriedhof;3ff9a6a3e7cf;46.9503;7.42015;12.05.2023;NA
10;Hintere Langgasse;835e566128f7;46.95789;7.43541;24.05.2023;NA
10;Hintere Langgasse;1564ef396f0f;46.95789;7.43541;09.05.2023;24.05.2023
13;Egelsee;f1c322fed147;46.94469;7.46442;10.05.2023;NA
14;Helvetiaplatz;d84fa928944b;46.94381;7.44885;01.06.2023;NA
14;Helvetiaplatz;db897f1683fc;46.94381;7.44885;10.05.2023;01.06.2023
16;Bubenbergplatz;1564ef396f0f;46.94728;7.43843;16.06.2023;NA
16;Bubenbergplatz;017e3348dd62;46.94728;7.43843;10.05.2023;16.06.2023
17;Rosengarten;e31e30079a9c;46.95188;7.4602;12.05.2023;NA
19;Galgenfeld Neubausiedlung;79ecf19c1a47;46.95063;7.46987;10.05.2023;NA
21;Gaswerk;2e15ffacceab;46.93964;7.44166;05.02.2024;NA
21;Gaswerk;5c50c3270b91;46.93964;7.44166;24.05.2023;05.02.2024
22;Matte Muhleplatz;b6fe2ab80321;46.94701;7.45583;24.05.2023;NA
23;Ostermundigen Ahornstrasse;84251a508492;46.95566;7.49879;11.05.2023;NA
25;Liebefeld;e15a04fd7037;46.92781;7.42031;09.05.2023;NA
26;Inselspital;a3841c1842b4;46.94719;7.42571;27.03.2024;NA
26;Inselspital;7b36c77aba0d;46.94719;7.42571;10.05.2023;01.02.2024
26;Inselspital;c1c63230dd69;46.94719;7.42571;27.03.2024;
26;Inselspital;a6d098900d78;46.94719;7.42571;05.02.2024;NA
28;Parkli bei Eigerplatz;86e2042d6857;46.94195;7.43094;10.05.2023;NA
30;Galgenfeld Industrie;634f68b0c0c6;46.95553;7.47194;10.05.2023;NA
31;Weiermatt;6e0aef9d54be;46.92041;7.40995;08.05.2023;NA
32;Bremgartenwald;2343056bd60f;46.95739;7.42128;16.05.2023;NA
33;Dahlholzliwald;44d4eaca941f;46.93798;7.45656;NA;NA
34;Kasernenareal;d0e2d4b4c052;46.95697;7.45801;08.05.2023;NA
36;Wyttenbachstrasse;017f7c0231ae;46.95518;7.44773;08.05.2023;NA
37;Lorraine;8ba39c865b00;46.95898;7.44513;08.05.2023;NA
38;Spiegel;20b8a59ebf60;46.92607;7.43739;09.05.2023;NA
39;Weyermannshaus Industrie;444fdf760afa;46.949;7.40134;12.05.2023;NA
41;Monbijou-Park;8032b80c5ec1;46.94187;7.43462;10.05.2023;NA
42;Gerechtigkeitsgasse;3299bbe93670;46.9481;7.45351;12.05.2023;NA
45;Zytglogge;c454534c7d32;46.94819;7.4474;16.03.2024;NA
45;Zytglogge;69f3833ae157;46.94819;7.4474;12.05.2023;01.02.2024
48;Viererfeld 1 (Sportplatz);75a4a50dfb2c;46.96512;7.43823;16.05.2023;NA
48;Viererfeld 1 (Sportplatz);20e3bdd594dd;46.96512;7.43823;16.05.2023;
51;Bumpliz Stockacker;db1aaeaf755a;46.94302;7.39587;12.05.2023;NA
52;Umland Bumpliz;1422c91c94ef;46.93354;7.36084;08.05.2023;NA
53;Waffenweg;459a084688df;46.96173;7.45192;08.05.2023;NA
55;Bollwerk;36c36d0cf6fd;46.95151;7.44082;08.05.2023;NA
57;Eigerplatz;ac6956757b85;46.94067;7.43141;10.05.2023;NA
58;Murifeld;e96f9159cdca;46.93919;7.47992;10.05.2023;NA
59;Schlossmatte Familiengarten;0e93f9aa1539;46.94211;7.41688;12.05.2023;NA
61;Westside Center;1b0dc4db66c0;46.94555;7.37478;12.05.2023;NA
62;Felsenhaldenweg;6cf62e6cfad9;46.97417;7.44122;09.05.2023;NA
65;Umland Bolligen;4eb78fa39636;46.96681;7.50376;11.05.2023;NA
69;Eisenbahnquartier;15c44cc1729a;46.93716;7.42317;09.05.2023;NA
70;Bundesplatz;44dd6ed61b66;46.94692;7.44353;12.05.2023;NA
71;Hirschengraben;83b8067d27a2;46.94658;7.43786;12.05.2023;NA
73;Obstberg;64520be86594;46.94714;7.46407;10.05.2023;NA
76;Wabern Viktoriastrasse;cbb89f9d130c;46.93122;7.45326;24.05.2023;NA
76;Wabern Viktoriastrasse;a6d098900d78;46.93122;7.45326;09.05.2023;24.05.2023
78;Dalmazibrucke;e3594371a27b;46.94445;7.44571;24.05.2023;NA
79;Umland Belp;e1ccbf0d3c96;46.89942;7.51184;09.05.2023;NA
80;Elfenau;db9e92f34b5f;46.93558;7.4695;10.05.2023;NA
82;Thunplatz;7c98b95fbc73;46.94059;7.45824;10.05.2023;NA
83;Stadtlabor;d6e2769def35;46.96311;7.46257;08.05.2023;NA
86;Ostermundigen Lotschenstrasse;0cebd74f5020;46.95309;7.48719;11.05.2023;NA
87;Engehalde Stauwehr;b60acb7fff9f;46.96546;7.44503;08.05.2023;NA
87;Engehalde Stauwehr;307b8e4c1a42;46.96546;7.44503;08.05.2023;
89;Gurten Kulm;7462a9be23a4;46.91833;7.43971;27.07.2023;NA
89;Gurten Kulm;2e15ffacceab;46.91833;7.43971;17.05.2023;27.07.2023
89;Gurten Kulm;a4caecd1e2e6;46.91833;7.43971;7/27/23;NA
98;Zollikofen 2m;20d1b9040ad9;46.99079;7.46407;09.05.2023;NA
99;Zollikofen 3m;135a449d34a1;46.99079;7.46407;09.05.2023;NA
101;Steinholzliwald;213cff7114f2;46.93514;7.42805;09.05.2023;NA
102;Vordere Langgasse;2b71f57ca11c;46.95171;7.43714;08.05.2023;NA
111;Tellstrasse;68d17acb4c7c;46.96017;7.46146;10.05.2023;NA
112;Ausserholligen Post;f9c2d2bbe84f;46.94755;7.40188;12.05.2023;NA
113;Ausserholligen ewb;4f5e9a2b9675;46.94542;7.40642;12.05.2023;NA
116;Ansermetplatz;061bc5815e5a;46.94787;7.37708;12.05.2023;NA
117;Koniztal;a474b0e06285;46.90961;7.44248;09.05.2023;NA
117;Koniztal;37464e90ede9;46.90961;7.44248;09.05.2023;
124;Barenplatz;995c5da790ca;46.94814;7.44366;24.05.2023;NA
126;Optingenstrasse;5d922b8eddee;46.95597;7.45045;08.05.2023;NA
127;Breitenrainplatz;58c0f9c55c8d;46.95838;7.45415;08.05.2023;NA
128;Schosshaldenfriedhof;166584a41612;46.95342;7.47165;16.06.2023;01.05.2024
128;Schosshaldenfriedhof;75a4a50dfb2c;46.95342;7.47165;24.05.2023;16.06.2023
129;Laupenstrasse;c1c63230dd69;46.94734;7.43639;12.05.2023;NA
134;Vorplatz Baerenpark;5e37031f7f2b;46.94823;7.45974;16.03.2024;NA
135;Optingenstrasse Sud;cad06aabf023;46.95439;7.44938;21.03.2024;NA
136;Optingenstrasse Nord;f055cf494274;46.95672;7.45081;21.03.2024;NA
136;Optingenstrasse Nord;a3841c1842b4;46.95672;7.45081;21.03.2024;
141;Viererfeld 2 (Schacht);2512f6b6f8a7;46.96271;7.43688;08.05.2023;NA
142;Viererfeld 3 (Strasse Sud);34203a10c11a;46.96286;7.44009;11.05.2023;NA
143;Viererfeld 4 (Strasse Nord);cb1330fd71b9;46.96523;7.44165;16.05.2023;NA
144;Viererfeld 5 (Mittelfeld);a8386067f2e8;46.96178;7.43481;08.05.2023;NA
151;Ostermundigen BareTower;1422c91c94ef;46.95563;7.48114;11.05.2023;
152;Ostermundigen Moosweg;71912f0c8afa;46.95813;7.48807;11.05.2023;NA
153;Ostermundigen Wegmuhlegassli;57542e9f73a9;46.95806;7.49371;11.05.2023;NA
154;Ostermundigen Oberfeld;22164103ffc8;46.9581;7.49792;11.05.2023;NA
155;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;11.05.2023;NA
156;Ostermundigen Tiefenmosli;d89267a081f7;46.94801;7.48411;11.05.2023;NA
161;Ostermundigen Schermenweg;d3960c86f92a;46.95821;7.48052;11.05.2023;NA
162;Ostermundigen Poststrasse;db897f1683fc;46.95867;7.48222;16.06.2023;NA
162;Ostermundigen Poststrasse;b60acb7fff9f;46.95867;7.48222;11.05.2023;16.06.2023
171;Postgasse Nord;7b36c77aba0d;46.94886;7.4542;21.03.2024;NA
173;Postgasse West;a6d098900d78;46.94871;7.45341;21.03.2024;NA
174;Postgasse Sued;f31e2d9d37ba;46.94886;7.45466;21.03.2024;NA
