Log_NR,Location,Latitude,Longitude,Code_grafana,Start,End,ID
1,VonRoll,46.95291,7.42252,02f54063d5c4,05-09-2023,NA,OLD
1,VonRoll,46.95291,7.42252,02f54063d5c4,05-09-2023,NA,live
2,Europaplatz,46.94333,7.40633,d60444822c13,05-10-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,05-10-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,10-04-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,05-10-2023,NA,live
7,Brunnhof,46.94479,7.42713,23c9b05d9c07,05-10-2023,NA,OLD
7,Brunnhof,46.94479,7.42713,23c9b05d9c07,05-10-2023,NA,live
8,Wankdorf ESP,46.968,7.46247,3b2fc2434bc8,06-06-2023,NA,OLD
8,Wankdorf ESP,46.968,7.46247,7637b479bc79,05-08-2023,06-01-2023,OLD
8,Wankdorf ESP,46.968,7.46247,cad06aabf023,06-01-2023,06-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,7637b479bc79,08-05-2023,01-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,cad06aabf023,01-06-2023,06-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,3b2fc2434bc8,06-06-2023,NA,live
9,Bremgartenfriedhof,46.9503,7.42015,3ff9a6a3e7cf,05-12-2023,NA,OLD
9,Bremgartenfriedhof,46.9503,7.42015,3ff9a6a3e7cf,05-12-2023,NA,live
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,05-09-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,05-09-2023,05-24-2023,OLD
10,Hintere Laenggasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,09-05-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,live
13,Egelsee,46.94469,7.46442,f1c322fed147,05-10-2023,NA,OLD
13,Egelsee,46.94469,7.46442,f1c322fed147,05-10-2023,NA,live
14,Helvetiaplatz,46.94381,7.44885,d84fa928944b,06-01-2023,NA,OLD
14,Helvetiaplatz,46.94381,7.44885,db897f1683fc,05-10-2023,06-01-2023,OLD
14,Helvetiaplatz,46.94381,7.44885,db897f1683fc,10-05-2023,01-06-2023,OLD
14,Helvetiaplatz,46.94381,7.44885,d84fa928944b,06-01-2023,NA,live
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,05-10-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,1564ef396f0f,06-16-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,05-10-2023,06-16-2023,OLD
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,10-05-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,1564ef396f0f,06-16-2023,NA,live
17,Rosengarten,46.95188,7.4602,e31e30079a9c,05-12-2023,NA,OLD
17,Rosengarten,46.95188,7.4602,e31e30079a9c,05-12-2023,NA,live
19,Galgenfeld Neubausiedlung,46.95063,7.46987,79ecf19c1a47,05-10-2023,NA,OLD
19,Galgenfeld Neubausiedlung,46.95063,7.46987,79ecf19c1a47,05-10-2023,NA,live
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-02-2024,NA,OLD
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-24-2023,02-05-2024,OLD
21,Gaswerk,46.93964,7.44166,2e15ffacceab,02-05-2024,NA,OLD
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-24-2023,NA,OLD
21,Gaswerk,46.93964,7.44166,2e15ffacceab,02-05-2024,NA,live
22,Matte Muhleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,OLD
22,Matte Muehleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,OLD
22,Matte Muhleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,live
23,Ostermundigen Ahornstrasse,46.95566,7.49879,84251a508492,05-11-2023,NA,OLD
23,Ostermundigen Ahornstrasse,46.95566,7.49879,84251a508492,05-11-2023,NA,live
25,Liebefeld,46.92781,7.42031,e15a04fd7037,05-09-2023,NA,OLD
25,Liebefeld,46.92781,7.42031,e15a04fd7037,05-09-2023,NA,live
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,04-02-2024,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-02-2024,NA,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,02-01-2024,OLD
26,Inselspital,46.94719,7.42571,c1c63230dd69,03-27-2024,NA,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,NA,OLD
26,Inselspital,46.94719,7.42571,a6d098900d78,02-05-2024,NA,OLD
26,Inselspital,46.94719,7.42571,a3841c1842b4,03-27-2024,NA,live
28,Parkli bei Eigerplatz,46.94195,7.43094,86e2042d6857,05-10-2023,NA,OLD
28,Paerkli bei Eigerplatz,46.94195,7.43094,86e2042d6857,05-10-2023,NA,OLD
28,Parkli bei Eigerplatz,46.94195,7.43094,86e2042d6857,05-10-2023,NA,live
30,Galgenfeld Industrie,46.95553,7.47194,634f68b0c0c6,05-10-2023,NA,OLD
30,Galgenfeld Industrie,46.95553,7.47194,634f68b0c0c6,05-10-2023,NA,live
31,Weiermatt,46.92041,7.40995,6e0aef9d54be,05-08-2023,NA,OLD
31,Weiermatt,46.92041,7.40995,6e0aef9d54be,05-08-2023,NA,live
32,Bremgartenwald,46.95739,7.42128,2343056bd60f,05-16-2023,NA,OLD
32,Bremgartenwald,46.95764,7.42177,2343056bd60f,05-16-2023,NA,OLD
32,Bremgartenwald,46.95739,7.42128,2343056bd60f,05-16-2023,NA,live
33,Dahlholzliwald,46.93798,7.45656,44d4eaca941f,05-16-2023,NA,OLD
33,Dahlhoelzliwald,46.93798,7.45656,44d4eaca941f,05-10-2023,NA,OLD
34,Kasernenareal,46.95697,7.45801,d0e2d4b4c052,05-08-2023,NA,OLD
34,Kasernenareal,46.95697,7.45801,d0e2d4b4c052,05-08-2023,NA,live
36,Wyttenbachstrasse,46.95518,7.44773,017f7c0231ae,05-08-2023,NA,OLD
36,Wyttenbachstrasse,46.95518,7.44773,017f7c0231ae,05-08-2023,NA,live
37,Lorraine,46.95898,7.44513,8ba39c865b00,05-08-2023,NA,OLD
37,Lorraine,46.95898,7.44513,8ba39c865b00,05-08-2023,NA,live
38,Spiegel,46.92607,7.43739,20b8a59ebf60,05-09-2023,NA,OLD
38,Spiegel,46.92607,7.43739,20b8a59ebf60,05-09-2023,NA,live
39,Weyermannshaus Industrie,46.949,7.40134,444fdf760afa,05-12-2023,NA,OLD
39,Weyermannshaus Industrie,46.949,7.40134,444fdf760afa,05-12-2023,NA,live
41,Monbijou-Park,46.94187,7.43462,8032b80c5ec1,05-10-2023,NA,OLD
41,Monbijou-Park,46.94187,7.43462,8032b80c5ec1,05-10-2023,NA,live
42,Gerechtigkeitsgasse,46.9481,7.45351,3299bbe93670,05-12-2023,NA,OLD
42,Gerechtigkeitsgasse,46.9481,7.45351,3299bbe93670,05-12-2023,NA,live
45,Zytglogge,46.94819,7.4474,69f3833ae157,05-12-2023,NA,OLD
45,Zytglogge,46.94819,7.4474,69f3833ae157,05-12-2023,02-01-2024,OLD
45,Zytglogge,46.94819,7.4474,c454534c7d32,03-16-2024,NA,OLD
45,Zytglogge,46.94819,7.4474,c454534c7d32,03-16-2024,NA,live
48,Viererfeld 1 (Sportplatz),46.96512,7.43823,20e3bdd594dd,05-16-2023,NA,OLD
48,Viererfeld 1 (Sportplatz),46.96512,7.43823,75a4a50dfb2c,05-16-2023,NA,live
51,Bumpliz Stockacker,46.94302,7.39587,db1aaeaf755a,05-12-2023,NA,OLD
51,Buempliz Stockacker,46.94302,7.39587,db1aaeaf755a,05-12-2023,NA,OLD
51,Bumpliz Stockacker,46.94302,7.39587,db1aaeaf755a,05-12-2023,NA,live
52,Umland Bumpliz,46.93354,7.36641,nocht nicht installiert,05-08-2023,NA,OLD
52,Umland Bumpliz,46.93354,7.36084,1422c91c94ef,05-08-2023,NA,live
53,Waffenweg,46.96173,7.45192,459a084688df,05-08-2023,NA,OLD
53,Waffenweg,46.96173,7.45192,459a084688df,05-08-2023,NA,live
55,Bollwerk,46.95151,7.44082,36c36d0cf6fd,05-08-2023,NA,OLD
55,Bollwerk,46.95151,7.44082,36c36d0cf6fd,05-08-2023,NA,live
57,Eigerplatz,46.94067,7.43141,ac6956757b85,05-10-2023,NA,OLD
57,Eigerplatz,46.94067,7.43141,ac6956757b85,05-10-2023,NA,live
58,Murifeld,46.93919,7.47992,e96f9159cdca,05-10-2023,NA,OLD
58,Murifeld,46.93919,7.47992,e96f9159cdca,05-10-2023,NA,live
59,Schlossmatte Familiengarten,46.94211,7.41688,0e93f9aa1539,05-12-2023,NA,OLD
59,Schlossmatte Familiengarten,46.94211,7.41688,0e93f9aa1539,05-12-2023,NA,live
61,Westside Center,46.94555,7.37478,1b0dc4db66c0,05-12-2023,NA,OLD
61,Westside Center,46.94555,7.37478,1b0dc4db66c0,05-12-2023,NA,live
62,Felsenhaldenweg,46.97417,7.44122,6cf62e6cfad9,05-09-2023,NA,OLD
62,Felsenhaldenweg,46.97417,7.44122,6cf62e6cfad9,05-09-2023,NA,live
65,Ostermundigen Rorswil,46.96681,7.50376,4eb78fa39636,05-11-2023,NA,OLD
65,Ostermundigen Roerswil,46.96681,7.50376,4eb78fa39636,05-11-2023,NA,OLD
65,Umland Bolligen,46.96681,7.50376,4eb78fa39636,05-11-2023,NA,live
69,Eisenbahnquartier,46.93716,7.42317,15c44cc1729a,05-09-2023,NA,OLD
69,Eisenbahnquartier,46.93716,7.42317,15c44cc1729a,05-09-2023,NA,live
70,Bundesplatz,46.94692,7.44353,44dd6ed61b66,05-12-2023,NA,OLD
70,Bundesplatz,46.94692,7.44353,44dd6ed61b66,05-12-2023,NA,live
71,Hirschengraben,46.94658,7.43786,83b8067d27a2,05-12-2023,NA,OLD
71,Hirschengraben,46.94658,7.43786,83b8067d27a2,05-12-2023,NA,live
73,Obstberg,46.94714,7.46407,64520be86594,05-10-2023,NA,OLD
73,Obstberg,46.94714,7.46407,64520be86594,05-10-2023,NA,live
76,Wabern Viktoriastrasse,46.93122,7.45326,a6d098900d78,05-09-2023,NA,OLD
76,Wabern Viktoriastrasse,46.93122,7.45326,cbb89f9d130c,05-24-2023,NA,OLD
76,Wabern Viktoriastrasse,46.93122,7.45326,a6d098900d78,05-09-2023,05-24-2023,OLD
76,Wabern Viktoriastrasse,46.93122,7.45326,a6d098900d78,09-05-2023,NA,OLD
76,Wabern Viktoriastrasse,46.93122,7.45326,cbb89f9d130c,05-24-2023,NA,live
78,Dalmazibrucke,46.94445,7.44571,e3594371a27b,05-24-2023,NA,OLD
78,Dalmazibruecke,46.94445,7.44571,e3594371a27b,05-24-2023,NA,OLD
78,Dalmazibrucke,46.94445,7.44571,e3594371a27b,05-24-2023,NA,live
79,Umland Belp,46.89942,7.51184,e1ccbf0d3c96,05-09-2023,NA,OLD
79,Umland Belp,46.89942,7.51184,e1ccbf0d3c96,05-09-2023,NA,live
80,Elfenau,46.93558,7.4695,db9e92f34b5f,05-10-2023,NA,OLD
80,Elfenau,46.93558,7.4695,db9e92f34b5f,05-10-2023,NA,live
82,Thunplatz,46.94059,7.45824,7c98b95fbc73,05-10-2023,NA,OLD
82,Thunplatz,46.94059,7.45824,7c98b95fbc73,05-10-2023,NA,live
83,Stadtlabor,46.96311,7.46257,d6e2769def35,05-08-2023,NA,OLD
83,Stadtlabor,46.96311,7.46257,d6e2769def35,05-08-2023,NA,live
86,Ostermundigen Lotschenstrasse,46.95309,7.48719,0cebd74f5020,05-11-2023,NA,OLD
86,Ostermundigen Loetschenstrasse,46.95309,7.48719,0cebd74f5020,05-11-2023,NA,OLD
86,Ostermundigen Lotschenstrasse,46.95309,7.48719,0cebd74f5020,05-11-2023,NA,live
87,Engehalde Stauwehr,46.96546,7.44503,307b8e4c1a42,05-08-2023,NA,OLD
87,Engehalde Stauwehr,46.96546,7.44503,b60acb7fff9f,05-08-2023,NA,live
89,Gurten Kulm,46.91833,7.43971,7462a9be23a4,07-27-2023,NA,OLD
89,Gurten Kulm,46.91833,7.43971,2e15ffacceab,05-17-2023,07-27-2023,OLD
89,Gurten Kulm,46.91833,7.43971,a4caecd1e2e6,07-27-2023,NA,OLD
89,Gurten Kulm,46.91833,7.43971,7462a9be23a4,11-08-2023,NA,OLD
89,Gurten Kulm,46.91833,7.43971,7462a9be23a4,07-27-2023,NA,live
98,Zollikofen 2m,46.99079,7.46407,20d1b9040ad9,05-09-2023,NA,OLD
98,Zollikofen 2m,46.99079,7.46407,20d1b9040ad9,05-09-2023,NA,live
99,Zollikofen 3m,46.99079,7.46407,135a449d34a1,05-09-2023,NA,OLD
99,Zollikofen 3m,46.99079,7.46407,135a449d34a1,05-09-2023,NA,live
101,Steinholzliwald,46.93514,7.42805,213cff7114f2,05-09-2023,NA,OLD
101,Steinhoelzliwald,46.93514,7.42805,213cff7114f2,05-09-2023,NA,OLD
101,Steinholzliwald,46.93514,7.42805,213cff7114f2,05-09-2023,NA,live
102,Vordere Langgasse,46.95171,7.43714,2b71f57ca11c,05-08-2023,NA,OLD
102,Vordere Laenggasse,46.95171,7.43714,2b71f57ca11c,05-08-2023,NA,OLD
102,Vordere Langgasse,46.95171,7.43714,2b71f57ca11c,05-08-2023,NA,live
111,Tellstrasse,46.96017,7.46146,68d17acb4c7c,05-10-2023,NA,OLD
111,Tellstrasse,46.96017,7.46146,68d17acb4c7c,05-10-2023,NA,live
112,Ausserholligen Post,46.94755,7.40188,f9c2d2bbe84f,05-12-2023,NA,OLD
112,Ausserholligen Post,46.94755,7.40188,f9c2d2bbe84f,05-12-2023,NA,live
113,Ausserholligen ewb,46.94542,7.40642,4f5e9a2b9675,05-12-2023,NA,OLD
113,Ausserholligen ewb,46.94542,7.40642,4f5e9a2b9675,05-12-2023,NA,live
116,Ansermetplatz,46.94787,7.37708,061bc5815e5a,05-12-2023,NA,OLD
116,Ansermetplatz,46.94787,7.37708,061bc5815e5a,05-12-2023,NA,live
117,Koniztal,46.90961,7.44248,37464e90ede9,05-09-2023,NA,OLD
117,Koeniztal,46.90961,7.44248,a474b0e06285,10-04-2023,NA,OLD
117,Koniztal,46.90961,7.44248,a474b0e06285,05-09-2023,NA,live
124,Barenplatz,46.94814,7.44366,995c5da790ca,05-24-2023,NA,OLD
124,Baerenplatz,46.94814,7.44366,995c5da790ca,05-24-2023,NA,OLD
124,Barenplatz,46.94814,7.44366,995c5da790ca,05-24-2023,NA,live
126,Optingenstrasse,46.95597,7.45045,5d922b8eddee,05-08-2023,NA,OLD
126,Optingenstrasse,46.95597,7.45045,5d922b8eddee,05-08-2023,NA,live
127,Breitenrainplatz,46.95838,7.45415,58c0f9c55c8d,05-08-2023,NA,OLD
127,Breitenrainplatz,46.95838,7.45415,58c0f9c55c8d,05-08-2023,NA,live
128,Schosshaldenfriedhof,46.95342,7.47165,166584a41612,06-16-2023,05-01-2024,OLD
128,Schosshaldenfriedhof,46.95342,7.47165,75a4a50dfb2c,05-24-2023,06-16-2023,OLD
128,Schosshaldenfriedhof,46.95342,7.47165,166584a41612,06-16-2023,NA,OLD
129,Laupenstrasse,46.94734,7.43639,c1c63230dd69,05-12-2023,NA,OLD
129,Laupenstrasse,46.94734,7.43639,c1c63230dd69,05-12-2023,NA,live
134,Vorplatz Baerenplatz,46.94823,7.45974,5e37031f7f2b,03-16-2024,NA,OLD
134,Vorplatz Baerenpark,46.94823,7.45974,5e37031f7f2b,03-16-2024,NA,live
135,Optingenstrasse Sud,46.95439,7.44938,cad06aabf023,03-21-2024,NA,OLD
135,Optingenstrasse Süd,46.95439,7.44938,,03-21-2024,NA,OLD
135,Optingenstrasse Sud,46.95439,7.44938,cad06aabf023,03-21-2024,NA,live
136,Optingenstrasse Nord,46.95672,7.45081,a3841c1842b4,03-21-2024,NA,OLD
136,Optingenstrasse Nord,46.95672,7.45081,,03-21-2024,NA,OLD
136,Optingenstrasse Nord,46.95672,7.45081,f055cf494274,03-21-2024,NA,live
141,Viererfeld 2 (Schacht),46.96271,7.43688,2512f6b6f8a7,05-08-2023,NA,OLD
141,Viererfeld 2 (Schacht),46.96271,7.43688,2512f6b6f8a7,05-08-2023,NA,live
142,Viererfeld 3 (Strasse Sud),46.96286,7.44009,34203a10c11a,05-11-2023,NA,OLD
142,Viererfeld 3 (Strasse Sud),46.96286,7.44009,34203a10c11a,05-11-2023,NA,live
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,cb1330fd71b9,05-16-2023,NA,OLD
143,Viererfeld 4 (Strasse Nord),46.96523,7.44165,cb1330fd71b9,05-16-2023,NA,live
144,Viererfeld 5 (Mittelfeld),46.96178,7.43481,a8386067f2e8,05-08-2023,NA,OLD
144,Viererfeld 5 (Mittelfeld),46.96178,7.43481,a8386067f2e8,05-08-2023,NA,live
151,Ostermundigen BareTower,46.95563,7.48114,1422c91c94ef,05-11-2023,NA,OLD
151,Ostermundigen BaereTower,46.95563,7.48114,1422c91c94ef,05-11-2023,NA,OLD
152,Ostermundigen Moosweg,46.95813,7.48807,71912f0c8afa,05-11-2023,NA,OLD
152,Ostermundigen Moosweg,46.95813,7.48807,71912f0c8afa,05-11-2023,NA,live
153,Ostermundigen Wegmuhlegassli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,OLD
153,Ostermundigen Wegmuhlegaessli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,OLD
153,Ostermundigen Wegmuhlegassli,46.95806,7.49371,57542e9f73a9,05-11-2023,NA,live
154,Ostermundigen Oberfeld,46.9581,7.49792,22164103ffc8,05-11-2023,NA,OLD
154,Ostermundigen Oberfeld,46.9581,7.49792,22164103ffc8,05-11-2023,NA,live
155,Ostermundigen Milchstrasse,46.96241,7.48201,5d30f69ffcbf,05-11-2023,NA,OLD
155,Ostermundigen Milchstrasse,46.96241,7.48201,5d30f69ffcbf,05-11-2023,NA,live
156,Ostermundigen Tiefenmosli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,OLD
156,Ostermundigen Tiefenmoesli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,OLD
156,Ostermundigen Tiefenmosli,46.94801,7.48411,d89267a081f7,05-11-2023,NA,live
161,Ostermundigen Schermenweg,46.95821,7.48052,d3960c86f92a,05-11-2023,NA,OLD
161,Ostermundigen Schermenweg,46.95821,7.48052,d3960c86f92a,05-11-2023,NA,live
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,05-11-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,db897f1683fc,06-16-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,05-11-2023,06-16-2023,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,b60acb7fff9f,11-05-2023,NA,OLD
162,Ostermundigen Poststrasse,46.95867,7.48222,db897f1683fc,06-16-2023,NA,live
171,Postgasse Nord,46.94886,7.4542,7b36c77aba0d,03-21-2024,NA,live
173,Postgasse West,46.94871,7.45341,a6d098900d78,03-21-2024,NA,live
174,Postgasse Sued,46.94886,7.45466,f31e2d9d37ba,03-21-2024,NA,live
NA,Ostermundigen BareTower 2,46.95563,7.48114,75a4a50dfb2c,03-21-2024,06-01-2024,OLD
